,name,extra,process,sub region,varietal,elevation,harvest time,producer
63,"Guatemala, Finca Chalum",Process Washed Sub Region Huehuetenango Producer Armando Gomez Varietal pache verde caturra bourbon Elevation 1750 - 1940,Process Washed,Sub Region Huehuetenango ,Varietal pache verde caturra bourbon,Elevation 1750 - 1940,,Producer Armando Gomez
64,Alchemy,Process Washed Harvest Time 2018 Varietal Caturra Catuai Elevation 1190,Process Washed,,Varietal Caturra Catuai,Elevation 1190,Harvest Time 2018,
65,Blue Orchid Blend,Process Washed Natural/Dry Processed Sub Region Mogiana Huila Harvest Time Year-round offering harvest time varies Varietal Bourbon Castillo Colombia Elevation 1000,Process Washed Natural/Dry Processed,Sub Region Mogiana Huila,Varietal Bourbon Castillo Colombia Elevation 1000,Elevation 1000,Harvest Time Year-round offering harvest time varies Varietal Bourbon Castillo Colombia Elevation 1000,
66,Brasil Fazenda Furnas,Process Natural/Dry Processed Sub Region Minas Gerais Producer Rinaldo de Castro Junqueira Varietal Yellow Bourbon Elevation 1350 - 1350,Process Natural/Dry Processed,Sub Region Minas Gerais,Varietal Yellow Bourbon,Elevation 1350 - 1350,,Producer Rinaldo de Castro Junqueira
67,Indonesia Java Blue Batavia,Process Wet-hulled Sub Region West Java Varietal Linie S795 Jember Elevation 2300 - 2400,Process Wet-hulled,Sub Region West Java,Varietal Linie S795 Jember,Elevation 2300 - 2400,,
68,"Hacienda Carmona, Guatemala",Process Washed Sub Region San Juan del Obispo Sacatepequez Producer Maria Zelaya Harvest Time Spring 2018 Elevation 1580,Process Washed,Sub Region San Juan del Obispo Sacatepequez,,Elevation 1580,Harvest Time Spring 2018,Producer Maria Zelaya
69,Seabright House Blend,Process Washed Sub Region Cauca Elevation 1700,Process Washed,Sub Region Cauca,,Elevation 1700,,
70,Ethiopia Heirloom - Single Origin,"['Process', 'Washed', 'Varietal', 'Arabica']","['Process', 'Washed']",,"['Varietal', 'Arabica']",,,
71,Misfit,"['Process', 'Washed', 'Natural/Dry', 'Processed', 'Pulped', 'Natural', 'Varietal', 'Caturra']","['Process', 'Washed', 'Natural/Dry', 'Processed', 'Pulped', 'Natural']",,"['Varietal', 'Caturra']",,,
72,Time and Temperature,"['Process', 'Washed', 'Varietal', 'Heirloom', 'Colombia', 'Castillo', 'Caturra']","['Process', 'Washed']",,"['Varietal', 'Heirloom', 'Colombia', 'Castillo', 'Caturra']",,,
73,Stella Espresso,Process Washed Sub Region Huila Varietal Caturra Typica,Process Washed,Sub Region Huila,Varietal Caturra Typica,,,
75,Intelligentsia House Blend,Process Washed Sub Region Colombia Rwanda Peru,Process Washed,Sub Region Colombia Rwanda Peru,,,,
76,Pale Rider,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Castillo', 'Caturra']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Castillo', 'Caturra']",,,
77,Ethiopia,Process Natural/Dry Processed Sub Region Guji Varietal Indigenous Heirloom Cultivars Elevation 1900 - 2150,Process Natural/Dry Processed,Sub Region Guji,Varietal Indigenous Heirloom Cultivar,Elevation 1900 - 2150,,
78,Sound & Vision,Process Washed Natural/Dry Processed Varietal Bourbon Caturra Castillo Colombia Ethiopian Heirloom Elevation 1000,Process Washed Natural/Dry Processed,,Varietal Bourbon Caturra Castillo Colombia Ethiopian Heirloom,Elevation 1000,,
79,Brazil Blue Diamond,Process Natural/Dry Processed Sub Region Cerrado Minero Varietal Arabica Elevation 800 - 1300,Process Natural/Dry Processed,Sub Region Cerrado Minero ,Varietal Arabica ,Elevation 800 - 1300,,
